,boycott_uid_set,like_boycotters_uid_set
0160,1920;6017;2818;3203;4611;2692;3471;2832;4369;3733;5016;409;5786;4508;1952;2592;674;419;1955;4642;5287;936;5674;556;2350;1711;4271;5552;4532;3255;4152;5562;5310;320;2628;2246;458;466;595;4434;87;3932;604;5340;2532;5861;3301;4967;1896;744;359;3692;2670;1264;497;5875;2296;4090;6012;1277,
0161,5376;3974;2183;392;4615;138;10;5900;1549;782;4233;3985;2066;659;663;3864;158;1566;3874;3370;4653;5042;820;2869;3382;5045;4404;572;1214;2756;2758;1481;2379;4816;2415;984;3546;3547;1501;97;868;741;998;3687;233;5870;1775;4463;6001;5106;4595;3955;5236;1902;1014;4849;4473;1146;381;3583,
0162,3969;4866;5124;1797;261;5895;776;5384;3335;5134;4119;3995;4764;5278;5154;4258;1446;4398;2478;3888;5297;430;435;4531;4788;1590;4410;1595;579;3523;3402;4939;5324;1612;3919;2128;467;2004;4309;4438;1368;728;3928;3419;1115;4445;5992;873;1386;2285;5485;4207;2414;1518;1266;2548;4469;2039;4732;2173,
0163,1537;4099;4357;3979;2061;3731;916;2324;5271;3736;1305;3100;3612;413;5022;5148;669;5023;1661;5161;426;3755;174;3248;3377;2045;4021;1721;2874;4029;3519;3776;3394;3267;2760;5448;1360;2896;848;721;2388;5588;4818;2770;3675;1630;2016;1253;5996;2413;5486;3567;6002;5746;1014;1142;248;3963;5116;253,
0164,1280;2820;2695;3592;2575;1429;5911;4122;285;1182;5539;548;4133;4646;39;2981;2425;419;4267;172;4906;945;3378;4409;5818;575;1990;5578;331;3405;1106;2387;2772;726;983;3800;5849;4314;862;2654;992;4960;1763;2660;1125;3300;4967;1766;3436;5741;751;4856;4849;4093;758;3830;3062;4214;3958;381,
0165,256;4999;1928;4745;6026;395;3719;5007;5012;5141;3478;2070;2453;152;3991;4511;4639;1057;4513;5667;1321;3114;2604;5886;48;3504;946;4148;436;2228;2359;2232;437;4282;4538;1846;4158;4291;324;712;2256;2001;2514;851;1872;2647;4056;1628;3424;5475;3046;5610;236;3949;4977;883;1143;5116;6013;3710,
0166,3714;3078;5510;4872;4745;4744;3208;902;3339;5646;11;2445;399;4626;2324;918;3862;1176;1944;3738;5786;3996;2333;3103;3745;5410;5922;1831;2600;1066;810;5804;4528;5681;4400;5813;2742;1720;4029;3783;3784;1867;3659;3664;1105;83;1625;4186;4569;1500;3933;5854;3174;5351;1385;490;242;2807;2299;5119,
0167,899;1670;5645;5006;399;5392;5140;1046;2840;3354;4891;924;4764;932;2469;4650;3371;4782;3377;5042;2996;2485;820;3515;1724;2875;190;958;3778;707;3654;5961;202;3148;4302;4688;5584;1749;4053;4055;3032;4953;3035;4187;3036;1628;3806;1120;737;1891;5988;1125;5480;5996;3823;1647;3057;6009;1148;127,
0168,128;4608;2049;4100;4612;2052;5389;1807;3472;2065;5782;4376;2202;3611;667;156;1055;1186;2978;5284;3877;5925;4642;4392;4009;1068;3502;4791;3514;4414;4545;5571;582;5319;4808;4045;845;2127;5072;3278;1106;86;2523;2908;219;605;2655;3680;4448;2914;105;4589;2159;2289;2931;1015;3956;5367;1145;1407,
0169,1795;2309;648;2698;524;2573;4624;2321;5524;150;4889;3226;3353;5020;797;2334;1696;2080;5502;4131;2596;2724;1186;33;5672;5161;5801;5296;5682;3251;51;3766;3643;2748;2621;319;3264;4160;5186;3398;711;4297;4937;74;5716;2773;5468;4449;2914;4071;5480;1001;4076;4334;5616;1394;3698;5627;893;3966,
0170,1;1026;5764;1541;3463;396;4364;2573;6036;2965;3988;4631;5012;795;4636;32;5153;4258;3235;4900;4773;4518;1063;2216;2982;3884;5037;176;4018;1843;5682;5942;825;5571;3397;3782;5319;5194;1869;5582;3919;976;4695;4056;857;90;2905;3803;2779;608;3940;869;1128;3817;1514;5739;3185;5111;4216;509,
0171,256;6017;1027;4356;5909;4246;791;2458;5274;1308;2716;3612;3105;33;1825;1058;1447;5288;428;4015;307;3380;4277;1843;4151;4665;1344;5185;1730;3399;2376;2504;4298;1227;5069;462;5582;1997;3282;4438;4951;857;3806;5730;5220;2916;1254;103;3174;874;1643;3563;2923;3951;3828;4983;2808;2299;1532;4863,
0172,387;261;902;3719;5641;1418;11;3983;144;1530;20;2325;2196;3991;4505;154;5277;5792;5154;4131;2212;1060;5156;5931;1453;1967;4276;948;54;1719;2359;4665;3135;3649;5699;69;2502;3145;1484;4813;1998;464;5969;467;3030;4311;218;2906;2138;4576;3552;5346;2274;2786;4322;1520;1265;1017;1786;2940,
0173,4352;5762;6019;4741;2695;2567;143;5654;5404;5406;4511;1952;2464;1314;35;546;2347;428;4141;1709;1837;5551;5297;2994;2098;5301;5686;827;574;3518;448;2112;192;4163;1350;456;1097;3794;5975;4185;988;2273;3043;612;357;4198;1381;1257;4587;2667;4332;2671;1395;4980;3573;374;3447;2806;6014;511,
0174,128;6016;6018;4100;1543;4615;3081;3978;1035;1294;144;1809;18;3348;1556;2454;4762;3102;4255;4512;1570;1828;2597;678;5159;1662;1579;2348;557;2990;4015;5936;177;819;5173;694;441;3769;5952;961;582;2375;2632;5830;4682;1228;2125;4301;3406;4432;4434;5594;3813;105;1393;3953;3190;2554;1148;4094,
0175,2689;4866;637;2951;776;1673;1162;4235;3978;4365;531;4244;4629;5270;5783;4630;4117;154;4763;5407;5920;3616;2976;34;5663;4000;3880;3624;3498;1330;3891;566;5948;447;1471;1092;5064;2764;3278;5328;338;2900;2774;5985;3042;5989;3557;4713;3051;1644;3711;2672;4593;3440;2037;630;5498;2811;893;5503,
0176,4609;5637;765;2060;5649;4242;20;2581;6036;1943;5528;535;1691;1436;4640;1570;35;3619;1063;1448;681;683;4267;2988;2863;5424;5937;1842;5683;2486;5943;3128;5947;4796;4286;3518;1857;1474;3394;3148;4684;5836;5711;3406;1873;2005;2905;4443;2269;351;868;1508;5350;4196;3559;4331;239;2038;1021;2942,
0177,1153;5505;4865;900;2306;1798;1287;2053;5897;5002;5001;4239;146;2195;2068;5012;919;2715;2204;4253;5788;2976;2978;3876;4390;1831;936;4009;1578;555;38;50;3635;948;1847;314;702;5183;959;5569;4802;4682;2763;5581;1104;4305;1236;852;342;3543;3803;4841;2155;5615;2287;2290;377;2554;1916;2430,
0178,3201;5634;3844;1668;4743;391;4621;5646;4752;657;3602;4627;5393;5529;5657;1562;4765;2718;418;4772;5669;1190;3369;1069;5805;2223;561;4276;4789;565;1335;4537;3131;1467;3263;451;1990;5063;716;1869;5839;1233;1234;979;1877;982;471;5848;3962;5215;992;1126;743;2409;235;238;2672;120;4730;2687,
0179,5120;129;2562;2304;2949;5766;134;5128;267;2956;525;3726;2445;1808;1933;2317;3212;1428;2705;4758;2707;921;2464;1445;1446;4521;5804;3253;4022;1974;3384;4537;1462;2619;5180;575;326;4294;2758;2762;5322;4043;5583;4816;3546;3679;4449;1249;4325;870;2156;5614;3695;1391;3054;3822;3699;1913;250;1531,
0180,5120;4740;4360;5643;396;1038;1048;4377;536;2715;2077;1190;4391;298;1452;2733;4398;2608;49;1331;1717;3509;5435;3132;445;4031;1600;2242;5190;1226;3018;844;333;978;3543;3672;345;4055;731;1627;3166;1375;1118;4065;2914;3681;3039;5351;5097;2155;236;111;3699;3827;1523;3574;1528;3577;1277;3454,
0181,514;1155;3332;1157;4615;8;1289;1931;4619;2064;1299;1430;2971;5534;2976;418;1827;420;5032;5885;2345;44;3891;53;3382;4022;3767;3770;5819;2492;1988;1356;2637;5968;1233;5075;3541;5846;2391;4824;1751;3039;5088;4349;3682;4091;874;1131;621;1262;2670;505;3570;1011;121;6010;123;3324;3453;5758,
0182,3458;4100;4614;262;4618;5900;5517;1676;783;3346;3350;1049;2976;1057;3491;3748;2213;1190;2601;5038;3759;5938;3763;1076;3637;5942;3131;3900;3773;2622;4032;710;584;2761;75;3275;846;1871;212;341;3548;5342;998;1385;4586;3307;5356;4461;3566;492;1517;494;619;3315;4340;2934;5494;3834;2686;1399,
0183,1029;1289;1293;3985;4241;1171;4498;1557;4758;2198;2966;1689;5394;27;539;2973;2078;4767;2334;3873;676;2982;3881;4398;5551;4400;816;3250;3510;3259;2366;5315;3652;2373;5196;4430;2639;5070;1489;595;5590;3159;2267;3036;4061;734;3422;4194;3938;4580;747;750;2927;3569;5234;4850;5364;635;3837;2559,
0184,2562;4355;4612;1669;4102;2436;3592;5370;661;1557;3610;5147;2332;4384;5930;1067;4525;1198;1071;2736;5041;5169;4146;2996;4532;1583;5559;1336;4153;1978;4920;5948;4023;1846;703;2112;3137;2233;2254;2382;595;599;4952;4056;3930;2523;350;4320;738;5475;4454;487;3052;5229;3566;2550;5622;3962;5886;383,
0185,641;2693;1544;648;395;2573;269;1423;5008;5521;3346;5266;3349;3992;4633;4250;5529;544;2977;3233;2848;3877;4005;2854;3113;3892;1588;4663;3000;2489;5689;4157;2366;3263;4544;4032;4030;708;4294;1735;3526;585;2247;2763;2248;4941;1102;4425;468;4315;479;5094;3305;749;2676;501;4214;5752;505;1023,
0186,770;260;4229;1542;5255;2445;2832;1169;4241;1177;1945;4507;1445;167;1832;1961;1834;5675;2603;3119;2358;4535;5564;446;1215;4416;703;1214;1604;1608;713;3273;2635;5837;721;4055;5464;3544;2265;3033;92;477;2144;1504;5347;2276;4709;356;5863;1773;4846;3567;2926;3186;627;3828;2933;3702;244;3449,
0187,1664;4223;3602;1813;1045;5913;1052;5916;3742;4383;2296;5025;3876;2084;4135;5800;5161;4907;3245;4400;561;818;4145;433;1968;2361;2746;2875;4923;3001;4158;322;3779;4163;201;2890;5963;465;722;4565;216;2265;3930;4826;3548;1370;1507;3174;1257;3181;5358;1522;1906;5748;5749;5238;247;501;1788;1023,
0188,4608;129;2817;1153;388;5252;2949;1029;1032;1417;3465;2827;399;4371;5499;5530;2204;2462;4257;2339;292;4915;2228;1718;1208;5054;4545;3265;836;2628;1096;2888;1739;2251;4557;3533;1611;81;4817;3283;3156;4954;3931;3550;739;3429;3305;1386;2155;5868;3565;3436;4975;3567;3316;5623;3577;6010;3451;2046,
0189,2945;2055;3336;6025;780;4366;1423;2447;6033;5652;660;1302;2711;5153;4900;4133;5799;297;2096;4529;2994;2736;2868;4277;1716;5815;3387;2108;2238;62;5824;1345;322;320;5310;4171;3278;4820;3925;3156;1113;1116;1244;484;1125;3686;3177;4716;1645;1390;4076;5616;2417;242;4205;4596;4082;6006;1275;3967,
0190,642;2947;1027;5000;1544;3596;1293;1679;657;1043;1048;3353;3609;5017;3740;5413;2728;2221;2734;1965;688;2483;307;5046;1847;4406;825;5175;4280;3902;1217;1729;5956;5829;2685;72;1737;4040;459;3147;1739;3919;2770;2388;2391;2520;5976;4186;2652;2017;2274;2023;3837;619;3436;1902;5623;3451;1533;3455,
0191,5496;4229;1414;264;904;142;1551;2704;2841;410;3099;2845;670;4383;5406;2210;4132;4392;175;178;3634;308;5684;2489;2874;3515;1469;4670;3774;962;5444;2632;3659;5836;718;4943;209;5075;3028;2901;5719;4574;352;5601;4963;2404;3813;3811;745;3435;2670;3182;113;5749;3190;5878;5752;5499;4989;4734,
0192,259;2051;1541;3974;4359;5258;2064;3217;275;3349;1431;4505;1306;5787;2332;3872;290;2679;1577;4779;5420;2735;2096;4529;1714;5042;3894;1718;696;1595;322;4932;2374;3015;1224;5574;847;1231;3154;4306;5462;91;5467;4060;3934;2145;1250;3684;4583;104;2410;2414;3440;2290;3058;5236;2549;1527;4472;2814,
0193,4234;1548;5261;4108;4239;3088;5264;6036;661;2839;2969;4507;289;2083;2596;2725;4007;4521;3884;4270;46;1072;1458;435;564;4018;3638;4534;2099;4149;4795;190;4287;5824;2750;4677;3785;5964;1230;3539;5717;4953;4192;482;2536;4840;1258;619;1898;5225;2030;2799;5355;1390;1385;4468;3700;3832;5369;3326,
0194,642;1159;5896;4363;4621;5261;657;3345;3859;3478;5400;665;4890;2331;5404;4637;3356;5023;673;5410;1832;2344;1713;946;308;1339;1724;3643;4285;5436;2684;3652;3781;1605;1993;4171;5837;2511;3541;1624;5336;1369;2137;476;4829;4703;5857;5092;3686;5990;358;4711;488;4459;5612;4845;1524;4602;2556;4607,
0195,1026;4995;132;771;2442;524;653;4496;3985;1681;1301;918;1305;1817;1955;4004;931;2088;4140;2098;1591;3511;5691;5819;829;2749;703;5312;5184;194;1471;828;5445;3271;1609;970;1610;76;5709;2255;2385;5977;347;1371;1122;2789;3816;1641;3563;5229;237;5614;624;5746;2420;5877;2934;4603;125;4479,
0196,4353;4225;5635;1924;517;1798;262;5002;4619;396;3213;1294;4884;6036;5655;2970;2973;1823;416;3362;1442;5162;2602;556;44;5677;2863;3245;945;2866;3759;2740;819;5046;5559;827;4028;3520;1345;3137;197;5837;4558;2898;5717;1368;2267;988;477;5727;864;2911;4324;5997;5107;2804;5235;6005;4595;5116,
0197,2689;1544;6025;4108;5133;1934;2831;1935;4370;5396;4885;2198;2713;4634;5276;28;4639;4394;3755;4525;1585;2353;5042;692;1588;1719;2489;2301;5821;5694;2495;2752;3519;3649;195;5059;2557;2374;1222;587;2000;4689;5714;4443;3291;4318;3556;1255;1256;5738;5739;5483;2154;1006;237;5361;121;3450;5245;2815,
0198,3584;1793;131;645;1926;4107;5131;3342;4239;3471;3728;4497;2581;1302;1560;5657;3994;1947;3486;3361;4386;3875;4261;3366;4649;682;1328;1458;4402;3763;4026;5306;700;5958;967;1483;588;4941;5327;3029;4054;600;3161;2396;989;3808;3042;3709;3943;2665;5993;4459;621;2033;5361;5747;244;125;2809;3069,
0199,4995;645;1286;5381;3720;5770;1163;3852;13;2191;3728;5266;5908;6037;666;3484;669;4124;5024;4130;1961;173;1583;1584;313;2623;3264;961;323;1860;1862;71;4807;2374;4298;5580;4942;1743;4564;3799;2903;5337;1501;861;2912;5859;3945;617;1771;3049;489;5613;5104;3696;4595;4857;2678;1783;376;2553,
0200,1666;901;1160;4873;4489;2056;1807;4495;1809;1939;3735;2458;3612;5148;414;2723;2468;419;4004;2854;2344;1061;4015;5172;4405;5048;4664;2489;1724;957;446;831;3904;3006;4418;707;3902;3536;721;594;3283;4692;4560;342;2010;2395;3934;871;2796;3949;2416;1649;3189;5110;4727;2805;2809;3836;765;4606,
0201,2944;6017;3458;1283;775;2824;3593;3722;1035;5900;3341;1802;145;5653;918;5398;3353;667;3868;3612;1182;1051;3617;5153;1317;4783;1333;825;1594;3002;318;5182;3774;3651;2633;1356;2894;5970;3415;3416;4826;5978;734;5217;2913;871;3303;4457;2154;5101;624;3697;2675;627;3701;3445;5111;2422;1270;2559,
0202,2432;5379;2693;2053;5001;2702;5903;1551;787;5911;1432;2713;1435;1948;2717;4768;930;3363;3749;934;2218;4266;2606;4782;2225;562;5557;5430;5822;4289;322;3524;708;4422;2373;1861;4685;845;2257;3666;3157;3158;4824;2904;1370;5978;1754;605;5347;4584;1129;1257;106;2665;4718;625;753;3441;3573;4735,
0203,2563;4356;3075;2952;1417;1931;2188;5645;1293;4493;4495;397;6034;5904;2836;3742;167;4905;4399;2737;3122;1713;692;5814;2870;4282;5693;1984;833;5829;1606;4167;4936;1863;4300;5581;976;3793;4051;342;2775;2136;5723;2014;2911;870;3048;3560;5227;5356;365;2285;1518;3568;3307;4469;5749;5753;2299;2047,
0204,4737;4354;3845;2694;1157;903;5391;2319;529;5778;2328;3225;3227;5532;3101;5150;294;2088;2857;5930;4395;1452;3629;1968;4403;5811;1975;3774;702;5568;2241;4290;1984;4932;2625;4167;4040;73;329;5840;4945;2131;3667;5974;2391;3416;4828;3933;3806;5600;2788;868;623;5105;2802;883;505;1530;891;2558,
0205,1538;4995;644;5637;2566;5896;9;4744;1802;3726;3857;1683;2204;2076;4126;5536;3491;1831;2856;2729;1577;5165;3246;2991;2228;950;1335;5436;189;1471;2625;65;1475;5194;75;972;1995;2894;1235;3667;1109;5080;1882;4190;1759;4832;3810;3043;1636;1897;5610;2666;1902;3443;4596;4469;3831;2808;5373;2175,
0206,2561;5762;5256;782;5263;2830;2839;4888;2842;2973;2974;1698;2596;3623;2862;2994;3250;4787;2358;1079;4023;1209;699;572;4928;5696;2754;3906;4420;4417;581;4681;1737;1742;207;3792;5841;1489;5337;1626;2138;3037;5343;3297;2660;2789;4965;2407;5478;1897;5996;2029;1644;4852;629;3574;5495;3068;3197;766,
0207,5376;2948;5253;4490;1931;2448;3092;5525;5014;24;3224;3737;4891;5787;540;5913;3743;2339;5028;5672;172;2993;1457;2225;5682;4917;2489;827;5307;5825;2371;3140;5577;1483;1357;5198;4174;4046;337;5202;1235;3541;2524;348;94;3423;228;2661;488;2924;109;2287;3952;2675;3187;2164;887;4602;2171;2684,
0208,5505;2564;5513;3082;1547;4876;525;2316;6032;2065;1555;280;4760;5402;3355;1055;1952;4257;5920;419;300;817;565;950;568;827;829;1469;5312;193;4672;5443;1220;3014;4551;1352;5323;5327;88;3162;219;4316;1243;4058;3166;736;4193;3810;2532;2920;4969;2668;1521;1907;5109;3702;2295;4086;4347;1405,
0209,260;2829;1037;14;16;4241;6031;1555;4500;1305;1562;4251;2332;1052;1151;799;5795;1316;4391;4270;3893;5941;4408;1724;3519;576;959;1344;323;2884;4164;2886;5061;3143;2126;80;4563;5974;1623;4953;3803;1503;3424;2026;2539;2924;3310;1905;3058;2034;4724;756;1521;758;1268;4218;1020;3453;5630;3967,
0210,3977;5257;2699;5643;6029;5006;3598;2579;276;6037;5269;3226;1691;2718;2591;932;4645;3110;426;3115;1580;1197;5810;3891;2100;1849;2234;5819;1213;574;5059;1604;2888;5195;972;1611;4816;3537;3280;4695;3291;93;4320;5986;2403;741;504;2152;5226;1899;4847;1136;3186;4981;3318;2037;5880;2678;1658;4989,
0211,391;4232;5511;1162;3467;4492;2190;1807;5244;2577;1939;3101;2719;4129;5665;4900;4516;1958;1319;4391;1448;4268;2740;5301;5048;1209;5178;3774;1471;2241;5698;2756;1489;2258;5201;5716;216;1241;4314;2525;222;1632;1249;481;4579;1511;3562;4203;492;5357;3182;3055;1779;3316;2037;504;3194;3579;1532;1022,
0212,2049;4993;5891;5254;1671;3208;3850;4621;25;4121;283;5404;5917;4768;674;802;3749;5799;807;4395;4141;5167;51;4664;2104;1338;2235;188;3000;1860;453;4038;4935;3654;2377;1738;3655;2764;5200;3794;1495;3927;2648;5977;2014;2016;3041;5984;1379;5987;2405;4582;1128;1902;2287;1262;2547;2294;5754;6014,
0213,2820;1798;5256;1929;4238;2833;5396;3733;4887;3352;2456;1950;5156;164;2469;294;3241;426;3754;2680;429;3631;4784;3248;3762;3635;4279;568;3385;58;1340;1981;2495;1215;4162;4165;326;2252;3921;2643;5335;4439;1627;5468;93;2909;3806;5989;2662;2022;1770;4075;1517;4718;3823;633;1266;4472;4345;124,
0214,4226;2051;4487;5512;781;995;4244;4118;1689;1435;4764;3355;3611;4391;4264;3239;2218;314;955;1341;4926;2110;2367;4034;963;4293;4934;2787;2632;4937;454;5452;3917;3410;2131;4183;4826;4571;2139;605;1501;1376;5985;2272;483;2275;2149;2534;1121;2280;1897;1642;875;3050;2027;506;4979;5754;4476;3197,
0215,6016;4354;4867;1540;4870;765;5258;4753;2194;5908;5269;5526;3224;3609;3740;29;5535;5279;4769;2468;4524;2861;174;2477;2609;5170;3507;820;5176;4538;315;4797;5309;2752;193;4164;2117;5200;3281;5586;1106;598;3295;2784;2401;2912;4708;4325;2534;5097;3434;2666;1646;1264;2160;3568;1779;1136;4476;1789,
0216,2304;129;3210;3981;4241;4755;3862;4762;1690;5150;5535;5024;4129;800;543;2215;5801;5291;3884;5933;5807;5044;3254;1079;3638;5819;3261;3134;2241;4674;3011;836;454;1479;2505;5325;3536;5968;2769;4946;1616;5205;726;3417;347;2908;221;3935;1001;2922;5227;362;4335;1904;3185;4466;116;245;630;5498,
0217,3207;391;5257;3080;3464;3980;1803;5519;911;1297;530;151;3608;921;1183;1832;43;3884;5038;3247;1715;1590;4409;3643;5308;3259;1728;3138;1475;4037;4806;1094;5704;456;1354;1486;2256;4305;3026;4563;979;5714;466;4567;4184;5598;990;4318;4966;4968;746;3051;4462;495;1523;5747;3320;4345;3834;4861,
0218,768;4352;4866;1154;5379;5892;772;7;3463;3977;2186;1291;5;5625;5647;144;4369;4111;1935;4500;2710;4123;2595;3493;2725;5160;4905;4910;5038;3758;4786;2745;5562;2493;4925;2495;2496;4546;2632;2504;4938;5579;5580;1741;5963;970;5466;2010;1631;3169;739;3300;4708;486;5990;3179;4718;3312;5363;1913,
0219,770;387;3972;5258;4747;5002;3213;14;1554;1428;4632;3738;4124;1053;2079;159;2467;5290;1835;4780;1452;3376;2609;1458;2488;5821;5823;5824;832;3394;5569;1347;4289;4163;968;3402;5322;3148;205;4815;1618;979;2643;4692;345;5239;3035;5211;2277;5488;4209;2291;3955;2037;1526;4470;5752;636;1021;4223,
0220,256;2561;390;4745;3471;4881;1810;4242;1176;2073;922;5276;3100;33;675;804;1319;1960;1833;680;939;4135;2221;5415;175;1584;185;5691;1340;701;2624;1600;1218;1348;1221;1734;967;3655;712;2125;4434;1364;5206;3159;2779;3422;1247;99;3686;1385;5611;4077;3437;3055;5875;1012;1780;2806;1657;1918,
0221,1664;2699;3602;660;2970;5156;1959;936;1833;2472;3115;4263;3885;1199;3376;3506;307;4404;3893;1718;3894;3512;5565;4929;2372;5573;1479;712;586;1482;4938;1998;3451;2132;5075;3796;2265;3163;1756;4572;2527;1251;5604;4069;1382;1636;1768;3947;3052;365;747;3180;3440;3826;1266;2930;1012;5621;5371;1276,
0222,129;5250;5891;2819;1281;3078;1287;1418;2570;2060;141;2957;1040;767;4628;3861;4374;2330;1691;2077;2207;3617;931;548;1837;1581;5809;2486;1595;5566;4932;5577;4298;716;717;4304;4049;3158;1753;1369;4187;5596;5083;5087;3296;2913;4707;2148;358;4072;488;3820;2160;5361;3313;3570;1018;6011;1917;2431,
0223,4480;1667;4995;2948;2052;1548;4236;2192;2579;2964;277;1940;4500;664;2971;4516;3877;1318;4905;4778;1069;5934;1199;1839;52;5430;2747;317;5822;3518;4160;5697;4421;1990;838;2889;5327;3280;2385;212;4053;2261;4314;4829;1119;5471;1249;3300;3173;3431;2407;2537;1642;4971;4333;3053;1012;5880;505;4479,
0224,128;5255;4232;2825;1031;3854;1556;1813;4247;1688;5145;2841;2968;5917;5789;290;4518;2726;1064;2217;4779;2220;5040;2225;4277;1463;3260;1470;2241;4674;1219;1987;3144;2249;1482;715;2764;969;1614;78;1106;4438;3672;2137;3168;5217;225;3424;357;3558;744;1388;3180;5617;2935;3832;1788;4733;126;5503,
0225,256;2435;3588;1155;4744;4106;1170;5269;2326;3223;3480;664;1050;3611;2844;4123;2837;2848;1827;1957;4262;1451;1836;1069;433;3635;4921;2750;2754;5955;4162;1988;2758;2119;2887;5710;847;1359;5328;2518;5718;2775;4184;3802;2652;2398;2270;5984;4577;4321;3815;5864;2280;5486;239;2287;497;1779;2675;2421,
0226,1153;1799;1802;2826;3855;399;22;4248;4888;666;2842;4890;416;161;2722;5028;421;2086;5924;807;5804;5293;3760;433;4400;2227;3512;3514;573;2493;1093;2888;2641;4178;1233;2772;725;84;5463;1368;1236;1105;1370;1494;4829;4320;2400;356;228;1130;4202;3820;2799;5745;242;6004;4341;6009;5115;1917,
0227,1025;386;1538;2433;2695;4871;5129;4873;141;1168;3345;400;1044;5781;1562;3485;5021;5405;288;2465;42;5547;3632;4659;307;5811;1844;2871;5564;4541;4670;3391;3007;1857;325;71;4296;5069;1359;3665;4946;1873;469;3414;983;5722;5595;2779;3681;4321;2017;1507;363;749;1774;2931;1142;1273;3581;4606,
0228,5508;4996;1552;5009;789;1305;2205;3230;928;5281;4898;4768;4261;4902;3368;809;5035;2045;1075;4663;312;5944;4540;1472;2624;3010;196;456;4429;4942;3279;3666;725;598;1623;1624;3929;2779;5085;4318;3553;99;995;741;4453;360;2921;1769;4716;2285;4589;4335;242;5491;1268;2931;5494;4091;4733;510,
0229,5888;1668;2821;3206;1799;2184;777;1031;397;3599;6007;6033;1554;2454;4502;4886;1561;5018;4507;3742;1822;36;2853;5758;5933;1325;5680;5297;2742;2489;4542;2497;4931;2504;3658;5582;3279;4564;2261;4822;88;4698;3933;5342;3934;4832;2019;3685;5225;5355;1132;1516;4723;2804;5238;4215;2550;6006;5115;2046,
0230,6016;640;2819;5635;4351;2696;1929;5387;2188;4879;4500;3991;5915;2204;5669;1958;1578;4011;2476;941;3501;2735;2480;5298;1586;3765;3003;700;60;1215;2881;2499;3141;1350;3525;2889;2250;3145;5965;975;2133;2650;1243;5466;605;3935;5855;4575;5728;1381;3306;365;2670;4849;2675;5236;1016;634;5628;1791,
0231,5250;3204;5;5767;2824;2185;1804;2061;3860;1301;4118;4121;4251;5408;1279;5545;5931;172;1453;686;556;690;695;1592;1721;698;4667;2745;1851;5182;5055;3262;2109;5058;68;3919;5971;2132;4949;2390;5462;2903;4182;1236;4443;1626;5344;4192;5987;1638;2282;4075;3819;110;5491;3572;5363;4347;2813;4223,
0232,1664;4993;4226;3585;1153;5384;5128;3981;5902;5394;4755;1304;410;1532;28;1825;933;1317;2732;5166;2225;3634;4531;2356;5684;2486;2871;4921;315;1982;5824;4033;2886;71;70;590;977;5586;3667;4948;2773;5203;215;1113;731;603;2269;3041;2405;3301;4199;3047;5998;752;3062;2807;3962;2811;5372;4733,
0233,5241;131;647;2697;5879;396;4748;910;2193;4498;914;1041;5525;4503;5530;1180;2342;2087;1064;167;2606;5423;5554;1331;3636;2482;2870;4923;5182;5055;3263;4290;1862;1354;5965;974;4952;1753;3672;5466;3548;988;990;94;1504;2784;225;1380;5605;5860;4711;3560;103;5484;4335;6000;3184;3959;3193;3582,
0234,1541;5637;5001;1546;777;5008;4883;4117;5781;5529;5147;5788;4895;1183;5283;292;3107;165;1064;168;4522;2092;1580;3888;1716;565;52;4665;2489;1600;1602;3524;4678;587;1740;4173;5587;4947;3541;2136;5977;3162;733;1374;5983;1630;5341;1378;1251;5094;1770;365;1651;1909;375;504;762;4092;5117;3839,
0235,3201;899;6020;3205;3336;5514;1291;2316;1420;4618;1041;5906;5779;6037;5022;4511;674;5283;2086;935;3880;5415;1322;5803;4652;4911;4915;4403;181;183;1722;958;4799;1090;3780;2629;332;5965;4942;5454;724;2133;605;1374;5856;5987;4837;4456;3817;4713;2538;1384;4458;3952;3702;503;1400;1660;4094;4735,
0236,4608;1667;5891;4870;5513;1020;5520;2579;5780;2964;1814;3220;4248;4888;5530;5781;2335;5279;3873;3617;1406;165;3750;1063;2090;3756;4017;1714;1791;308;2866;5177;699;5819;5949;4796;5826;195;966;2887;4935;5581;1358;3407;3408;848;4185;986;2654;2016;744;241;3314;3443;4084;2423;2553;1404;382;255,
0237,3720;5897;5513;5624;2444;1679;4495;1042;4499;4116;1940;278;3479;2040;412;2207;1058;5410;36;4648;4777;5801;429;5549;946;818;2099;1843;5051;3260;3137;4802;195;712;1994;3020;2381;79;5201;1363;2772;3413;3540;4445;4830;3039;1120;2787;1383;3948;3182;3951;112;1649;3059;1012;2677;4726;4215;1400,
0238,3841;1281;1540;5115;3721;6026;2446;5775;3088;3472;1429;5527;152;5785;37;1576;5033;3368;2171;1197;45;4783;4787;3896;5945;3386;1468;2109;2366;3447;447;4929;5696;1475;4805;5832;1873;3412;2392;247;479;1504;2272;735;613;5862;5861;2408;250;363;4336;3185;1394;3698;1526;3831;5626;5499;4348;5630,
0239,1673;3210;4747;4109;4365;4881;5139;5396;3221;917;3351;4505;5018;1563;1694;2463;5665;2850;2725;1190;810;4139;300;5163;5678;4397;3886;4529;2807;307;4404;5813;55;4536;697;186;1209;1470;319;2238;4161;2113;2755;73;5962;5452;5201;2386;4436;1367;984;2782;4191;1762;5988;3691;109;3315;5879;633,
